Fund Holdings as of,"Mar 31, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"GEI","GIBSON ENERGY INC","Energy","Equity","28,980,056.56","0.11","28,980,056.56","976,417.00","29.68","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SJ","STELLA JONES INC","Materials","Equity","28,950,427.74","0.11","28,950,427.74","310,161.00","93.34","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SKE","SKEENA RESOURCES LTD","Materials","Equity","28,576,466.79","0.11","28,576,466.79","689,753.00","41.43","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GRT.UN","GRANITE REAL ESTATE INVESTMENT STA","Real Estate","Equity","28,205,703.40","0.11","28,205,703.40","344,813.00","81.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ACO.X","ATCO LTD CLASS I","Utilities","Equity","28,164,066.70","0.11","28,164,066.70","413,630.00","68.09","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CG","CENTERRA GOLD INC","Materials","Equity","28,154,936.42","0.11","28,154,936.42","1,138,033.00","24.74","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BYD","BOYD GROUP SERVICES INC","Industrials","Equity","28,130,966.36","0.11","28,130,966.36","158,404.00","177.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TA","TRANSALTA CORP","Utilities","Equity","27,450,436.76","0.10","27,450,436.76","1,500,844.00","18.29","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MDA","MDA SPACE LTD","Industrials","Equity","27,269,029.16","0.10","27,269,029.16","773,809.00","35.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MAU","MONTAGE GOLD CORP","Materials","Equity","25,579,507.04","0.10","25,579,507.04","1,615,888.00","15.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FCR.UN","FIRST CAPITAL REALTY REAL ESTATE I","Real Estate","Equity","24,913,372.68","0.09","24,913,372.68","1,208,214.00","20.62","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SII","SPROTT INC","Financials","Equity","24,166,435.16","0.09","24,166,435.16","121,733.00","198.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FVI","FORTUNA MINING CORP","Materials","Equity","23,954,735.55","0.09","23,954,735.55","1,732,085.00","13.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CHP.UN","CHOICE PROPERTIES REAL ESTATE INVE","Real Estate","Equity","23,833,052.16","0.09","23,833,052.16","1,551,631.00","15.36","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AAUC","ALLIED GOLD CORP","Materials","Equity","23,458,185.52","0.09","23,458,185.52","544,021.00","43.12","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DML","DENISON MINES CORP","Energy","Equity","23,411,643.16","0.09","23,411,643.16","4,748,812.00","4.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BTE","BAYTEX ENERGY CORP","Energy","Equity","23,173,947.30","0.09","23,173,947.30","3,725,715.00","6.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SES","SECURE WASTE INFRASTRUCTURE CORP","Energy","Equity","22,141,666.91","0.08","22,141,666.91","1,014,277.00","21.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KXS","KINAXIS INC","Information Technology","Equity","22,105,558.80","0.08","22,105,558.80","157,447.00","140.40","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CEU","CES ENERGY SOLUTIONS CORP","Energy","Equity","22,011,419.43","0.08","22,011,419.43","1,195,623.00","18.41","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ERO","ERO COPPER CORP","Materials","Equity","21,897,730.91","0.08","21,897,730.91","590,713.00","37.07","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DOO","BRP SUBORDINATE VOTING INC","Consumer Discretionary","Equity","21,811,900.00","0.08","21,811,900.00","218,119.00","100.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EDR","ENDEAVOUR SILVER CORP","Materials","Equity","21,763,202.56","0.08","21,763,202.56","1,676,672.00","12.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"USD","USD CASH","Cash and/or Derivatives","Cash","21,366,749.71","0.08","21,366,749.71","15,310,630.00","139.56","United States","-","CAD","0.72","USD"
