iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 22, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,097,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,349,607,479.22","0.17","1,349,607,479.22","45,951,906.00","29.37","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,345,312,522.46","0.17","1,345,312,522.46","5,256,359.00","255.94","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","1,319,244,782.46","0.17","1,319,244,782.46","4,617,426.00","285.71","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,300,274,930.73","0.17","1,300,274,930.73","1,568,051.00","829.23","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,295,410,178.90","0.17","1,295,410,178.90","14,100,470.00","91.87","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","1,294,939,775.68","0.17","1,294,939,775.68","18,404,488.00","70.36","United States","NYSE","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,247,244,885.75","0.16","1,247,244,885.75","9,958,043.00","125.25","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1,244,479,423.72","0.16","1,244,479,423.72","16,282,604.00","76.43","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1,243,859,672.45","0.16","1,243,859,672.45","9,588,065.00","129.73","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","1,236,823,893.28","0.16","1,236,823,893.28","5,134,606.00","240.88","United States","NYSE","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","1,231,982,172.85","0.16","1,231,982,172.85","18,991,555.00","64.87","United States","NYSE","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","1,197,517,505.76","0.15","1,197,517,505.76","8,813,052.00","135.88","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1,172,079,812.02","0.15","1,172,079,812.02","1,909,609.00","613.78","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","1,169,524,198.22","0.15","1,169,524,198.22","2,450,497.00","477.26","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","1,164,197,344.86","0.15","1,164,197,344.86","5,172,831.00","225.06","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","1,156,018,657.19","0.15","1,156,018,657.19","3,486,079.00","331.61","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,154,972,868.66","0.15","1,154,972,868.66","7,272,213.00","158.82","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,146,193,509.28","0.15","1,146,193,509.28","6,067,084.00","188.92","United States","NASDAQ","USD","1.00","USD","-"
